SMILES,pIC50
O=C(N(C/1C2=CC(F)=CC=C2)CCCN3C=CN=C3)NC1=N\CC(N4CCC(C=CC=C5)=C5C4)=O,5.4
O=C(N(C/1C2=CC=C(F)C=C2)CCCN3C=CN=C3)NC1=N\CC(N4CCC(C=CC=C5)=C5C4)=O,5.51
O=C(N(C/1C2=CC=C(O)C=C2)CCCN3C=CN=C3)NC1=N\CC(N4CCC(C=CC=C5)=C5C4)=O,5.51
O=C(N(C/1C2=CC=CC(F)=C2)CCCN3C=CN=C3)NC1=N\CC4=CC=CN=C4,5.07
O=C(N(C/1C2=CC=C(Cl)C(F)=C2)CCCN3C=CN=C3)NC1=N/C4=CC=C(OC5=CC=CC=C5)C=C4,5.12
O=C(N(C/1C2OC=CCC2)CCCN3C=CN=C3)NC1=N/CCC(C4=CC=CC=C4)C5=CC=CC=C5,5.12
O=C(N(C/1C2=CC(F)=CC(F)=C2)CCCN3C=CN=C3)NC1=N/CCC(C4=CC=CC=C4)C5=CC=CC=C5,5.17
O=C(N(C/1C2=C(F)C=CC=C2)CCCN3C=CN=C3)NC1=N/CCC(C4=CC=CC=C4)C5=CC=CC=C5,5.17
O=C(N(C/1C2=CC(F)=CC=C2)CCCN3C=CN=C3)NC1=N/CCC(C4=CC=CC=C4)C5=CC=CC=C5,5.12
O=C(N(C/1C2=C(F)C(F)=CC=C2)CCCN3C=CN=C3)NC1=N/CC4=CC=CO4,5.07
O=C(N(C/1C2=CNC3=C2C=CC(C)=C3)C4=CC(N=CN5)=C5C=C4)NC1=N\CCCC6=CC=CC=C6,5.89
O=C(N(C/1C2=CC(OCCO3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\C,6.4
S=C(N(C/1C2=CC(Br)=CC(Br)=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/CC(N5CCSCC5)=O,5.66
O=C(N(C/1C2=COC3=C(C=C(C)C=C3)C2=O)C4=CC(N=CN5)=C5C=C4)NC1=N/C6C(O)CCCC6,5.4
O=C(N(C/1CC(C)CC(C)(C)C)C2=CC(NC=N3)=C3C=C2)NC1=N/C4CCCCCC4,5.12
S=C(N(C/1C2=CC(Br)=CC(Br)=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CCCC5=CC=CC=C5,5.24
S=C(N(C/1C2=CC(Br)=CC(Br)=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CCCC5=CC=CC=C5,5.24
S=C(N(C/1C2=CC=C(Br)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CC5=CC=CC=C5,5.24
S=C(N(C/1C2=C(F)C(Cl)=CC=C2F)C3=CC(N=CN4)=C4C=C3)NC1=N/CC(N5CCCC(O)C5)=O,5.66
O=C(N(C/1C2=CC=CC=C2Cl)C3=CC(N=CN4)=C4C=C3)NC1=N/CC(N5CCSCC5)=O,5.24
S=C(N(C/1C2=CC(OCO3)=C3C=C2Br)C4=CC(N=CN5)=C5C=C4)NC1=N/CC(NN6CCCCC6)=O,5.66
S=C(N(C/1C2=CC=C(Br)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CC5,5.89
O=C1N(/C=N/CCCN)C(C)C(C2=CC(C=CC=C3)=C3C=C2)N1C4=CC(N=CN5)=C5C=C4,5.24
O=C(N(C/1C2=CCCCC2)C3=CC(N=CN4)=C4C=C3)NC1=N/C(C5=CC=CC=C5)CC6=CC=CC=C6,5.51
S=C(N(C/1C2=CC(Br)=CS2)C3=CC(NC=N4)=C4C=C3)NC1=N/CC(N5CCC(C=CC=C6)=C6C5)=O,5.89
S=C(N(C/1C2=C(F)C=CC(Cl)=C2F)C3=CC(NC=N4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CCC5,5.66
O=C(N(C/1C2CCC(C)=CC2C)C3=CC(N=CN4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CC5,5.31
S=C(N(C/1C2=CC=C(Cl)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C5=C(Cl)C=CC(Cl)=C5,5.17
O=C(N(C/1)C2=CC(N=CN3)=C3C=C2)NC1=N/C4C(C=CC=C5)=C5CC4,5.4
O=C(N(C/1C2=CC=C(Br)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CC(N5CCSCC5)=O,5.4
S=C(N(C/1C2=CC=C(N3CCCC3)C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N/C6CCCC6,5.51
O=C(N(C/1C2=CC=C(Cl)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C5CCCC5,8.4
O=C(N(C/1C2=CC(Br)=CS2)C3=CC(NC=N4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CCC5,5.66
O=C(N(C/1C2=C3C(C=CC=C3)=NC=C2)C4=CC(N=CN5)=C5C=C4)NC1=N/CCCN6CCCC6=O,5.51
S=C(N(C/1C2=CC(C=CC=C3)=C3S2)C4=CC(N=CN5)=C5C=C4)NC1=N/CCCN6CCCC6=O,5.12
S=C(N(C/1C2=CC(OCO3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CCCN6CCCC6=O,5.17
